date,hour,open,high,low,close,volume(BTC),ohlc4,SMA48,average_true_range,EMA9,EMA48,10x short,25x short,50x short,100x short,10x long,25x long,50x long,100x long
2021-01-01 05:00:00,5.0,29280.5,29296.0,29146.5,29240.0,5523794.57695,29240.75,,,29240.75,29240.75,32310.22,30301.3,29686.04,29390.67,26703.88,28251.93,28808.62,29092.35
2021-01-01 06:00:00,6.0,29240.0,29315.0,29127.5,29231.0,7436046.7917,29228.38,,,29238.28,29240.24,32307.49,30298.73,29683.53,29388.18,26701.62,28249.54,28806.18,29089.89
2021-01-01 07:00:00,7.0,29231.0,29241.5,28887.0,29168.0,8430755.41455,29131.88,,,29217.0,29235.82,32283.97,30276.68,29661.92,29366.8,26682.19,28228.98,28785.22,29068.72
2021-01-01 08:00:00,8.0,29168.0,29251.0,28928.5,29061.0,7003066.8362,29102.12,,,29194.02,29230.36,32258.59,30252.87,29638.6,29343.7,26661.21,28206.78,28762.58,29045.86
2021-01-01 09:00:00,9.0,29061.0,29379.5,29041.5,29275.0,5764369.83265,29189.25,,,29193.07,29228.69,32257.53,30251.88,29637.63,29342.74,26660.33,28205.86,28761.64,29044.91
2021-01-01 10:00:00,10.0,29275.0,29414.5,29226.5,29309.5,9315498.2924,29306.38,,,29215.73,29231.86,32282.57,30275.37,29660.64,29365.52,26681.03,28227.76,28783.97,29067.46
2021-01-01 11:00:00,11.0,29309.5,29486.0,29284.5,29380.0,7180222.2362,29365.0,,,29245.58,29237.29,32315.56,30306.3,29690.95,29395.53,26708.29,28256.6,28813.38,29097.16
2021-01-01 12:00:00,12.0,29380.0,29691.5,29232.0,29300.5,12856443.56425,29401.0,,,29276.67,29243.97,32349.91,30338.51,29722.5,29426.77,26736.68,28286.63,28844.01,29128.08
2021-01-01 13:00:00,13.0,29300.5,29543.5,29274.0,29535.0,3070330.79355,29413.25,,,29303.98,29250.88,32380.09,30366.82,29750.24,29454.23,26761.63,28313.03,28870.92,29155.26
2021-01-01 14:00:00,14.0,29535.0,29606.5,29346.0,29395.0,5533512.2105,29470.62,,,29337.31,29259.85,32416.92,30401.36,29784.07,29487.73,26792.07,28345.23,28903.76,29188.42
2021-01-01 15:00:00,15.0,29395.0,29456.0,29093.0,29252.5,5428758.34115,29299.12,,,29329.67,29261.46,32408.48,30393.44,29776.32,29480.05,26785.09,28337.85,28896.23,29180.82
2021-01-01 16:00:00,16.0,29252.5,29427.5,29190.0,29372.0,4395273.91095,29310.5,,,29325.84,29263.46,32404.24,30389.47,29772.43,29476.2,26781.59,28334.14,28892.45,29177.01
2021-01-01 17:00:00,17.0,29372.0,29420.5,29011.0,29138.5,7396750.33005,29235.5,,,29307.77,29262.32,32384.28,30370.75,29754.08,29458.04,26765.09,28316.69,28874.65,29159.03
2021-01-01 18:00:00,18.0,29138.5,29322.0,28700.0,29134.5,12498198.8256,29073.75,,311.64,29260.97,29254.62,32332.56,30322.25,29706.57,29410.99,26722.34,28271.47,28828.54,29112.46
2021-01-01 19:00:00,19.0,29134.5,29191.0,29009.5,29104.0,7682271.1892,29109.75,,313.93,29230.72,29248.71,32299.14,30290.91,29675.86,29380.59,26694.72,28242.25,28798.74,29082.37
2021-01-01 20:00:00,20.0,29104.0,29356.5,28962.0,29277.0,3993445.11225,29174.88,,328.71,29219.55,29245.69,32286.8,30279.33,29664.52,29369.37,26684.52,28231.45,28787.74,29071.26
2021-01-01 21:00:00,21.0,29277.0,29375.0,29230.0,29236.5,3396636.5194,29279.62,,313.75,29231.57,29247.08,32300.08,30291.78,29676.72,29381.44,26695.5,28243.06,28799.57,29083.21
2021-01-01 22:00:00,22.0,29236.5,29399.5,29193.0,29344.0,1798021.42915,29293.25,,305.46,29243.9,29248.96,32313.71,30304.56,29689.24,29393.84,26706.76,28254.98,28811.73,29095.49
2021-01-01 23:00:00,23.0,29344.0,29408.0,29306.0,29399.0,1238365.4852,29364.25,,288.61,29267.97,29253.67,32340.3,30329.51,29713.68,29418.04,26728.74,28278.24,28835.44,29119.44
2021-01-02 00:00:00,0.0,29399.0,29404.5,29023.5,29271.0,3879419.4909,29274.5,,302.39,29269.28,29254.52,32341.74,30330.86,29715.0,29419.35,26729.94,28279.5,28836.73,29120.73
2021-01-02 01:00:00,1.0,29271.0,29489.0,29173.5,29446.5,4487456.6234,29345.0,,310.54,29284.42,29258.21,32358.48,30346.55,29730.38,29434.57,26743.77,28294.13,28851.65,29135.8
2021-01-02 02:00:00,2.0,29446.5,29559.5,29401.0,29402.5,4132007.029,29452.38,,289.04,29318.01,29266.14,32395.6,30381.36,29764.48,29468.33,26774.44,28326.58,28884.74,29169.22
2021-01-02 03:00:00,3.0,29403.0,29459.0,29340.5,29429.0,3275100.3572,29407.88,,278.25,29335.99,29271.92,32415.45,30399.99,29782.73,29486.4,26790.85,28343.95,28902.45,29187.1
2021-01-02 04:00:00,4.0,29429.0,29467.5,29294.0,29431.0,3056482.19735,29405.38,,272.04,29349.86,29277.37,32430.79,30414.37,29796.82,29500.35,26803.53,28357.36,28916.12,29200.91
2021-01-02 05:00:00,5.0,29431.0,29679.0,29430.0,29676.5,4622339.33935,29554.12,,263.89,29390.72,29288.66,32475.93,30456.7,29838.29,29541.41,26840.84,28396.83,28956.37,29241.55
2021-01-02 06:00:00,6.0,29676.5,29828.5,29542.5,29785.5,10339821.6321,29708.25,,267.36,29454.22,29305.79,32546.1,30522.51,29902.76,29605.24,26898.83,28458.19,29018.94,29304.74
2021-01-02 07:00:00,7.0,29785.0,29893.0,29711.5,29826.5,8590749.4308,29804.0,,251.07,29524.18,29326.13,32623.4,30595.0,29973.78,29675.55,26962.72,28525.78,29087.86,29374.34
2021-01-02 08:00:00,8.0,29826.5,29926.0,29705.0,29910.0,6447098.96205,29841.88,,222.43,29587.72,29347.18,32693.61,30660.85,30038.29,29739.42,27020.75,28587.17,29150.46,29437.56
2021-01-02 09:00:00,9.0,29910.0,29959.0,29639.0,29672.5,9898570.18825,29795.12,,232.32,29629.2,29365.46,32739.45,30703.83,30080.41,29781.11,27058.63,28627.25,29191.33,29478.83
2021-01-02 10:00:00,10.0,29672.5,29903.5,29535.0,29741.5,11429199.5473,29713.12,,230.46,29645.98,29379.65,32757.99,30721.23,30097.45,29797.98,27073.96,28643.46,29207.87,29495.53
2021-01-02 11:00:00,11.0,29741.5,29839.5,29689.5,29818.0,5394919.4713,29772.12,,230.82,29671.21,29395.67,32785.87,30747.37,30123.06,29823.34,27097.0,28667.84,29232.72,29520.63
2021-01-02 12:00:00,12.0,29817.5,30966.0,29800.0,30658.0,31839415.6181,30310.38,,299.36,29799.04,29433.01,32927.12,30879.84,30252.84,29951.83,27213.74,28791.35,29358.66,29647.81
2021-01-02 13:00:00,13.0,30658.0,31597.0,30577.0,31594.5,41786834.23295,31106.62,,364.93,30060.56,29501.32,33216.09,31150.84,30518.34,30214.69,27452.57,29044.02,29616.32,29908.0
2021-01-02 14:00:00,14.0,31594.5,31621.5,31127.5,31331.5,20908274.7807,31418.75,,373.0,30332.2,29579.58,33516.24,31432.33,30794.11,30487.72,27700.64,29306.47,29883.94,30178.26
2021-01-02 15:00:00,15.0,31331.5,31881.0,31291.0,31760.0,6232179.782,31565.88,,392.61,30578.93,29660.65,33788.88,31688.01,31044.6,30735.72,27925.97,29544.86,30127.03,30423.74
2021-01-02 16:00:00,16.0,31760.0,33100.0,31760.0,32553.0,23708330.5236,32293.25,,477.0,30921.8,29768.11,34167.73,32043.31,31392.69,31080.34,28239.08,29876.13,30464.82,30764.87
2021-01-02 17:00:00,17.0,32553.0,33025.5,32462.0,32936.0,5997557.7878,32744.12,,508.79,31286.26,29889.58,34570.46,32421.0,31762.7,31446.67,28571.93,30228.27,30823.9,31127.48
2021-01-02 18:00:00,18.0,32942.5,33349.5,32520.5,33018.5,7124381.29515,32957.75,,555.61,31620.56,30014.81,34939.85,32767.42,32102.09,31782.68,28877.22,30551.27,31153.26,31460.08
2021-01-02 19:00:00,19.0,33018.5,33295.5,32699.5,33087.0,5019370.51415,33025.12,,580.39,31901.47,30137.68,35250.25,33058.52,32387.28,32065.04,29133.77,30822.68,31430.02,31739.57
2021-01-02 20:00:00,20.0,33087.0,33126.5,30076.0,31007.0,19400360.03825,31824.12,,777.86,31886.0,30206.51,35233.15,33042.49,32371.58,32049.49,29119.64,30807.73,31414.78,31724.18
2021-01-02 21:00:00,21.0,31007.0,31935.5,29800.0,31696.0,10084774.438,31109.62,,917.43,31730.73,30243.37,35061.58,32881.58,32213.94,31893.42,28977.83,30657.71,31261.8,31569.69
2021-01-02 22:00:00,22.0,31696.0,32311.0,31452.5,32166.0,4136775.3967,31906.38,,962.96,31765.86,30311.25,35100.39,32917.99,32249.6,31928.73,29009.92,30691.65,31296.41,31604.64
2021-01-02 23:00:00,23.0,32166.0,32262.0,31622.0,32201.5,2610383.42885,32062.88,,985.82,31825.26,30382.75,35166.03,32979.54,32309.91,31988.43,29064.17,30749.04,31354.94,31663.74
2021-01-03 00:00:00,0.0,32201.5,32516.5,31978.0,32478.0,5520683.9571,32293.5,,997.96,31918.91,30460.74,35269.51,33076.59,32404.98,32082.56,29149.69,30839.53,31447.2,31756.92
2021-01-03 01:00:00,1.0,32478.0,32828.0,32255.5,32606.0,3504629.99615,32541.88,,1028.14,32043.5,30545.68,35407.18,33205.7,32531.47,32207.79,29263.47,30959.91,31569.95,31880.88
2021-01-03 02:00:00,2.0,32606.0,32930.5,32595.0,32765.0,2171278.09595,32724.12,,968.82,32179.63,30634.6,35557.6,33346.76,32669.67,32344.62,29387.79,31091.43,31704.07,32016.31
2021-01-03 03:00:00,3.0,32765.0,32780.5,32471.0,32595.0,1623346.1607,32652.88,,918.07,32274.28,30716.98,35662.18,33444.85,32765.76,32439.75,29474.22,31182.88,31797.32,32110.48
2021-01-03 04:00:00,4.0,32595.0,33279.0,32470.5,33236.5,2566278.89205,32895.25,30343.66,940.54,32398.47,30805.88,35799.42,33573.55,32891.85,32564.58,29587.64,31302.87,31919.68,32234.04
2021-01-03 05:00:00,5.0,33236.5,34190.0,33149.5,33757.0,13145374.0283,33583.25,30434.12,972.71,32635.43,30919.25,36061.25,33819.1,33132.41,32802.75,29804.04,31531.81,32153.13,32469.8
2021-01-03 06:00:00,6.0,33757.0,34118.0,33662.0,33986.5,2892029.68255,33880.88,30531.05,909.57,32884.52,31040.13,36336.48,34077.22,33385.3,33053.12,30031.52,31772.48,32398.54,32717.62
2021-01-03 07:00:00,7.0,33986.5,34809.5,33790.5,34471.0,10568561.39515,34264.38,30637.98,942.11,33160.49,31171.73,36641.42,34363.2,33665.47,33330.51,30283.55,32039.12,32670.43,32992.19
2021-01-03 08:00:00,8.0,34471.0,34695.5,33800.5,34390.0,10437599.6129,34339.25,30747.09,946.82,33396.24,31301.02,36901.92,34607.5,33904.81,33567.47,30498.85,32266.9,32902.7,33226.75
2021-01-03 09:00:00,9.0,34390.0,34618.5,33837.0,34203.5,5111391.4989,34262.25,30852.77,960.07,33569.44,31421.88,37093.31,34786.99,34080.65,33741.56,30657.03,32434.24,33073.34,33399.07
2021-01-03 10:00:00,10.0,34203.5,34376.0,33438.0,33891.5,5045638.8704,33977.25,30950.08,809.18,33651.0,31526.18,37183.43,34871.51,34163.46,33823.54,30731.51,32513.05,33153.7,33480.22
2021-01-03 11:00:00,11.0,33891.5,34465.5,33796.0,34430.0,4124197.69735,34145.75,31049.68,704.46,33749.95,31633.11,37292.77,34974.04,34263.91,33922.99,30821.88,32608.65,33251.19,33578.67
